"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged"
"1","1000002330","The Songs of Adelaide & Abullah","Poetry","Publishing","GBP","2015-10-09 11:36:00","1000","2015-08-11 12:12:28","0","failed","0","GB","0"
"2","1000003930","Greeting From Earth: ZGAC Arts Capsule For ET","Narrative Film","Film & Video","USD","2017-11-01 03:43:57","30000","2017-09-02 04:43:57","2421","failed","15","US","100"
"3","1000004038","Where is Hank?","Narrative Film","Film & Video","USD","2013-02-26 00:20:50","45000","2013-01-12 00:20:50","220","failed","3","US","220"
"4","1000007540","ToshiCapital Rekordz Needs Help to Complete Album","Music","Music","USD","2012-04-16 04:24:11","5000","2012-03-17 03:24:11","1","failed","1","US","1"
"5","1000011046","Community Film Project: The Art of Neighborhood Filmmaking","Film & Video","Film & Video","USD","2015-08-29 01:00:00","19500","2015-07-04 08:35:03","1283","canceled","14","US","1283"
"6","1000014025","Monarch Espresso Bar","Restaurants","Food","USD","2016-04-01 13:38:27","50000","2016-02-26 13:38:27","52375","successful","224","US","52375"
"7","1000023410","Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co","Food","Food","USD","2014-12-21 18:30:44","1000","2014-12-01 18:30:44","1205","successful","16","US","1205"
"8","1000030581","Chaser Strips. Our Strips make Shots their B*tch!","Drinks","Food","USD","2016-03-17 19:05:12","25000","2016-02-01 20:05:12","453","failed","40","US","453"
"9","1000034518","SPIN - Premium Retractable In-Ear Headphones with Mic","Product Design","Design","USD","2014-05-29 18:14:43","125000","2014-04-24 18:14:43","8233","canceled","58","US","8233"
"10","100004195","STUDIO IN THE SKY - A Documentary Feature Film (Canceled)","Documentary","Film & Video","USD","2014-08-10 21:55:48","65000","2014-07-11 21:55:48","6240.57","canceled","43","US","6240.57"
"11","100004721","Of Jesus and Madmen","Nonfiction","Publishing","CAD","2013-10-09 18:19:37","2500","2013-09-09 18:19:37","0","failed","0","CA","0"
"12","100005484","Lisa Lim New CD!","Indie Rock","Music","USD","2013-04-08 06:42:58","12500","2013-03-09 06:42:58","12700","successful","100","US","12700"
"13","1000055792","The Cottage Market","Crafts","Crafts","USD","2014-10-02 17:11:50","5000","2014-09-02 17:11:50","0","failed","0","US","0"
"14","1000056157","G-Spot Place for Gamers to connect with eachother & go pro!","Games","Games","USD","2016-03-25 22:01:12","200000","2016-02-09 23:01:12","0","failed","0","US","0"
"15","1000057089","Tombstone: Old West tabletop game and miniatures in 32mm.","Tabletop Games","Games","GBP","2017-05-03 19:44:18","5000","2017-04-05 19:44:18","94175","successful","761","GB","57763.77967932"
"16","1000064368","Survival Rings","Design","Design","USD","2015-02-28 02:10:53","2500","2015-01-29 02:10:53","664","failed","11","US","664"
"17","1000064918","The Beard","Comic Books","Comics","USD","2014-11-08 22:27:52","1500","2014-10-09 22:27:52","395","failed","16","US","395"
"18","1000068480","Notes From London: Above & Below","Art Books","Publishing","USD","2015-05-10 21:20:54","3000","2015-04-10 21:20:54","789","failed","20","US","789"
"19","1000070642","Mike Corey's Darkness & Light Album","Music","Music","USD","2012-08-17 14:11:32","250","2012-08-02 14:11:32","250","successful","7","US","250"
"20","1000071625","Boco Tea","Food","Food","USD","2012-06-02 17:24:32","5000","2012-05-03 17:24:32","1781","failed","40","US","1781"
"21","1000072011","CMUK. Shoes: Take on Life Feet First.","Fashion","Fashion","USD","2013-12-30 07:06:11","20000","2013-11-25 07:06:11","34268","successful","624","US","34268"
